,Name,Round,Pick,PlayerName,PositionId
0,Natural Born Kylers,1,1,Jonathan Taylor,2
1,Washington D.C. Commies,1,2,Cooper Kupp,3
2,Philly Anarchist ,1,3,Christian McCaffrey,2
3,Close Encounter Of Kirk Kind,1,4,Austin Ekeler,2
4,Chargers  Robles,1,5,Justin Herbert,1
5,Team Marks,1,6,Justin Jefferson,3
6,Dilbert Gottfried,1,7,Ja'Marr Chase,3
7,Alief Jackalopes ,1,8,Derrick Henry,2
8,Team Jackie ,1,9,Joe Mixon,2
9,Team Farsa,1,10,Najee Harris,2
10,Team Ossoff,1,11,Dalvin Cook,2
11,Team Riot,1,12,Stefon Diggs,3
12,Team Riot,2,1,D'Andre Swift,2
13,Team Ossoff,2,2,Alvin Kamara,2
14,Team Farsa,2,3,Davante Adams,3
15,Team Jackie ,2,4,Deebo Samuel,3
16,Alief Jackalopes ,2,5,Keenan Allen,3
17,Dilbert Gottfried,2,6,Javonte Williams,2
18,Team Marks,2,7,Aaron Jones,2
19,Chargers  Robles,2,8,Tyreek Hill,3
20,Close Encounter Of Kirk Kind,2,9,CeeDee Lamb,3
21,Philly Anarchist ,2,10,Travis Kelce,4
22,Washington D.C. Commies,2,11,James Conner,2
23,Natural Born Kylers,2,12,Mark Andrews,4
24,Natural Born Kylers,3,1,Tee Higgins,3
25,Washington D.C. Commies,3,2,Mike Evans,3
26,Philly Anarchist ,3,3,DJ Moore,3
27,Close Encounter Of Kirk Kind,3,4,Leonard Fournette,2
28,Chargers  Robles,3,5,Younghoe Koo,5
29,Team Marks,3,6,Cam Akers,2
30,Dilbert Gottfried,3,7,Patrick Mahomes,1
31,Alief Jackalopes ,3,8,Dalton Schultz,4
32,Team Jackie ,3,9,Josh Allen,1
33,Team Farsa,3,10,Saquon Barkley,2
34,Team Ossoff,3,11,Michael Pittman Jr.,3
35,Team Riot,3,12,Nick Chubb,2
36,Team Riot,4,1,A.J. Brown,3
37,Team Ossoff,4,2,Kyle Pitts,4
38,Team Farsa,4,3,Terry McLaurin,3
39,Team Jackie ,4,4,J.K. Dobbins,2
40,Alief Jackalopes ,4,5,Lamar Jackson,1
41,Dilbert Gottfried,4,6,Brandin Cooks,3
42,Team Marks,4,7,Diontae Johnson,3
43,Chargers  Robles,4,8,49ers D/ST,16
44,Close Encounter Of Kirk Kind,4,9,Jaylen Waddle,3
45,Philly Anarchist ,4,10,David Montgomery,2
46,Washington D.C. Commies,4,11,Josh Jacobs,2
47,Natural Born Kylers,4,12,Ezekiel Elliott,2
48,Natural Born Kylers,5,1,Mike Williams,3
49,Washington D.C. Commies,5,2,Darren Waller,4
50,Philly Anarchist ,5,3,Marquise Brown,3
51,Close Encounter Of Kirk Kind,5,4,Dak Prescott,1
52,Chargers  Robles,5,5,Mike Gesicki,4
53,Team Marks,5,6,George Kittle,4
54,Dilbert Gottfried,5,7,Breece Hall,2
55,Alief Jackalopes ,5,8,Amari Cooper,3
56,Team Jackie ,5,9,Amon-Ra St. Brown,3
57,Team Farsa,5,10,Travis Etienne Jr.,2
58,Team Ossoff,5,11,Courtland Sutton,3
59,Team Riot,5,12,AJ Dillon,2
60,Team Riot,6,1,Chris Godwin,3
61,Team Ossoff,6,2,Gabe Davis,3
62,Team Farsa,6,3,Kyler Murray,1
